# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiD
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiD	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.4285714286	0.2964748556	0.4041332419	1.363128219	1.019872676	1.019489107
0.4315789474	0.2965153956	0.4041874568	1.363124691	1.020012133	1.019625873
0.4345864662	0.2965559355	0.4042416718	1.363121163	1.02015159	1.019762639
0.437593985	0.2965964755	0.4042958867	1.363117637	1.020291048	1.019899404
0.4406015038	0.2966370155	0.4043501017	1.363114111	1.020430505	1.02003617
0.4436090226	0.2966775554	0.4044043166	1.363110587	1.020569963	1.020172936
0.4466165414	0.2967180954	0.4044585316	1.363107063	1.02070942	1.020309701
0.4496240602	0.2967586354	0.4045127465	1.363103541	1.020848877	1.020446467
0.4526315789	0.2967991753	0.4045669615	1.363100019	1.020988335	1.020583233
0.4556390977	0.2968397153	0.4046211764	1.363096498	1.021127792	1.020719998
0.4586466165	0.2968802553	0.4046753914	1.363092979	1.021267249	1.020856764
0.4616541353	0.2969207952	0.4047296064	1.36308946	1.021406707	1.02099353
0.4646616541	0.2969613352	0.4047838213	1.363085942	1.021546164	1.021130295
0.4676691729	0.2970018752	0.4048380363	1.363082425	1.021685622	1.021267061
0.4706766917	0.2970424151	0.4048922512	1.363078909	1.021825079	1.021403827
0.4736842105	0.2970829551	0.4049464662	1.363075394	1.021964536	1.021540592
0.4766917293	0.2971234951	0.4050006811	1.36307188	1.022103994	1.021677358
0.4796992481	0.297164035	0.4050548961	1.363068367	1.022243451	1.021814124
0.4827067669	0.297204575	0.405109111	1.363064855	1.022382908	1.021950889
0.4857142857	0.297245115	0.405163326	1.363061344	1.022522366	1.022087655
0.4887218045	0.2972856549	0.4052175409	1.363057834	1.022661823	1.022224421
0.4917293233	0.2973261949	0.4052717559	1.363054325	1.02280128	1.022361186
0.4947368421	0.2973667349	0.4053259708	1.363050817	1.022940738	1.022497952
0.4977443609	0.2974072748	0.4053801858	1.363047309	1.023080195	1.022634718
0.5007518797	0.2974478148	0.4054344007	1.363043803	1.023219653	1.022771483
0.5037593985	0.2974883548	0.4054886157	1.363040298	1.02335911	1.022908249
0.5067669173	0.2975288947	0.4055428306	1.363036793	1.023498567	1.023045015
0.5097744361	0.2975694347	0.4055970456	1.36303329	1.023638025	1.02318178
0.5127819549	0.2976099747	0.4056512605	1.363029787	1.023777482	1.023318546
0.5157894737	0.2976505146	0.4057054755	1.363026286	1.023916939	1.023455312
0.5187969925	0.2976910546	0.4057596904	1.363022785	1.024056397	1.023592077
