# VHH-NNLO SMEFT grid scan points
# process: ZHH
# energy_tev: 14.0
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-12.94871795	0.6923076923	1.695207016	2.094400342	1.235483526	5.548794687	5.019206745
-12.94871795	0.7435897436	1.727969497	2.133138863	1.234477152	5.656033671	5.112043173
-12.94871795	0.7948717949	1.760731977	2.171877384	1.23350823	5.763272655	5.204879601
-12.94871795	0.8461538462	1.793494458	2.210615905	1.232574707	5.870511639	5.297716028
-12.94871795	0.8974358974	1.826256938	2.249354426	1.231674678	5.977750623	5.390552456
-12.94871795	0.9487179487	1.859019419	2.288092947	1.230806373	6.084989607	5.483388884
-12.94871795	1	1.891781899	2.326831468	1.229968142	6.192228591	5.576225312
-12.43589744	-1	0.576524189	0.7703201126	1.336145347	1.887093627	1.846063442
-12.43589744	-0.9487179487	0.6092866695	0.8090586336	1.327878442	1.994332611	1.93889987
-12.43589744	-0.8974358974	0.6420491501	0.8477971547	1.320455225	2.101571595	2.031736298
-12.43589744	-0.8461538462	0.6748116306	0.8865356757	1.31375281	2.208810579	2.124572725
-12.43589744	-0.7948717949	0.7075741112	0.9252741967	1.307671072	2.316049563	2.217409153
-12.43589744	-0.7435897436	0.7403365917	0.9640127178	1.302127611	2.423288547	2.310245581
-12.43589744	-0.6923076923	0.7730990722	1.002751239	1.297053993	2.530527531	2.403082009
-12.43589744	-0.641025641	0.8058615528	1.04148976	1.292392913	2.637766515	2.495918436
-12.43589744	-0.5897435897	0.8386240333	1.080228281	1.288096022	2.745005499	2.588754864
-12.43589744	-0.5384615385	0.8713865139	1.118966802	1.28412224	2.852244483	2.681591292
-12.43589744	-0.4871794872	0.9041489944	1.157705323	1.280436444	2.959483467	2.77442772
-12.43589744	-0.4358974359	0.9369114749	1.196443844	1.277008422	3.066722451	2.867264148
-12.43589744	-0.3846153846	0.9696739555	1.235182365	1.273812046	3.173961435	2.960100575
-12.43589744	-0.3333333333	1.002436436	1.273920886	1.270824603	3.281200418	3.052937003
-12.43589744	-0.2820512821	1.035198917	1.312659407	1.268026257	3.388439402	3.145773431
-12.43589744	-0.2307692308	1.067961397	1.351397928	1.265399603	3.495678386	3.238609859
-12.43589744	-0.1794871795	1.100723878	1.390136449	1.262929312	3.60291737	3.331446286
-12.43589744	-0.1282051282	1.133486358	1.42887497	1.260601824	3.710156354	3.424282714
-12.43589744	-0.07692307692	1.166248839	1.467613491	1.258405104	3.817395338	3.517119142
-12.43589744	-0.02564102564	1.199011319	1.506352012	1.256328433	3.924634322	3.60995557
-12.43589744	0.02564102564	1.2317738	1.545090533	1.254362232	4.031873306	3.702791997
-12.43589744	0.07692307692	1.26453628	1.583829054	1.252497915	4.13911229	3.795628425
-12.43589744	0.1282051282	1.297298761	1.622567575	1.250727762	4.246351274	3.888464853
-12.43589744	0.1794871795	1.330061241	1.661306096	1.249044814	4.353590258	3.981301281
-12.43589744	0.2307692308	1.362823722	1.700044617	1.247442784	4.460829242	4.074137708
-12.43589744	0.2820512821	1.395586203	1.738783138	1.245915971	4.568068226	4.166974136
