# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.407518797	0.5658599239	0.7251173332	1.281443168	1.852187084	1.737735492
0.4105263158	0.5677813325	0.7273892164	1.281108016	1.858476287	1.743180035
0.4135338346	0.5697027411	0.7296610996	1.280775125	1.864765491	1.748624577
0.4165413534	0.5716241498	0.7319329828	1.280444472	1.871054694	1.75406912
0.4195488722	0.5735455584	0.734204866	1.280116035	1.877343898	1.759513662
0.422556391	0.575466967	0.7364767492	1.279789791	1.883633101	1.764958204
0.4255639098	0.5773883757	0.7387486324	1.279465718	1.889922305	1.770402747
0.4285714286	0.5793097843	0.7410205156	1.279143794	1.896211509	1.775847289
0.4315789474	0.5812311929	0.7432923988	1.278823999	1.902500712	1.781291831
0.4345864662	0.5831526016	0.7455642819	1.278506312	1.908789916	1.786736374
0.437593985	0.5850740102	0.7478361651	1.278190711	1.915079119	1.792180916
0.4406015038	0.5869954188	0.7501080483	1.277877176	1.921368323	1.797625459
0.4436090226	0.5889168275	0.7523799315	1.277565687	1.927657526	1.803070001
0.4466165414	0.5908382361	0.7546518147	1.277256224	1.93394673	1.808514543
0.4496240602	0.5927596447	0.7569236979	1.276948768	1.940235934	1.813959086
0.4526315789	0.5946810534	0.7591955811	1.276643298	1.946525137	1.819403628
0.4556390977	0.596602462	0.7614674643	1.276339795	1.952814341	1.824848171
0.4586466165	0.5985238706	0.7637393475	1.276038242	1.959103544	1.830292713
0.4616541353	0.6004452793	0.7660112306	1.275738618	1.965392748	1.835737255
0.4646616541	0.6023666879	0.7682831138	1.275440905	1.971681951	1.841181798
0.4676691729	0.6042880965	0.770554997	1.275145086	1.977971155	1.84662634
0.4706766917	0.6062095052	0.7728268802	1.274851142	1.984260359	1.852070882
0.4736842105	0.6081309138	0.7750987634	1.274559056	1.990549562	1.857515425
0.4766917293	0.6100523224	0.7773706466	1.274268809	1.996838766	1.862959967
0.4796992481	0.6119737311	0.7796425298	1.273980385	2.003127969	1.86840451
0.4827067669	0.6138951397	0.781914413	1.273693767	2.009417173	1.873849052
0.4857142857	0.6158165483	0.7841862961	1.273408937	2.015706376	1.879293594
0.4887218045	0.617737957	0.7864581793	1.273125879	2.02199558	1.884738137
0.4917293233	0.6196593656	0.7887300625	1.272844576	2.028284784	1.890182679
0.4947368421	0.6215807742	0.7910019457	1.272565012	2.034573987	1.895627221
0.4977443609	0.6235021829	0.7932738289	1.272287172	2.040863191	1.901071764
0.5007518797	0.6254235915	0.7955457121	1.272011038	2.047152394	1.906516306
0.5037593985	0.6273450001	0.7978175953	1.271736596	2.053441598	1.911960849
0.5067669173	0.6292664088	0.8000894785	1.27146383	2.059730801	1.917405391
0.5097744361	0.6311878174	0.8023613617	1.271192725	2.066020005	1.922849933
0.5127819549	0.633109226	0.8046332448	1.270923265	2.072309209	1.928294476
0.5157894737	0.6350306347	0.806905128	1.270655436	2.078598412	1.933739018
0.5187969925	0.6369520433	0.8091770112	1.270389223	2.084887616	1.93918356
0.5218045113	0.6388734519	0.8114488944	1.270124611	2.091176819	1.944628103
0.5248120301	0.6407948606	0.8137207776	1.269861585	2.097466023	1.950072645
0.5278195489	0.6427162692	0.8159926608	1.269600133	2.103755226	1.955517188
0.5308270677	0.6446376778	0.818264544	1.269340239	2.11004443	1.96096173
0.5338345865	0.6465590865	0.8205364272	1.26908189	2.116333634	1.966406272
0.5368421053	0.6484804951	0.8228083103	1.268825071	2.122622837	1.971850815
0.5398496241	0.6504019037	0.8250801935	1.26856977	2.128912041	1.977295357
0.5428571429	0.6523233124	0.8273520767	1.268315973	2.135201244	1.9827399
0.5458646617	0.654244721	0.8296239599	1.268063667	2.141490448	1.988184442
0.5488721805	0.6561661296	0.8318958431	1.267812838	2.147779651	1.993628984
0.5518796992	0.6580875383	0.8341677263	1.267563474	2.154068855	1.999073527
0.554887218	0.6600089469	0.8364396095	1.267315562	2.160358059	2.004518069
0.5578947368	0.6619303555	0.8387114927	1.267069089	2.166647262	2.009962611
0.5609022556	0.6638517642	0.8409833759	1.266824043	2.172936466	2.015407154
0.5639097744	0.6657731728	0.843255259	1.266580411	2.179225669	2.020851696
0.5669172932	0.6676945814	0.8455271422	1.266338182	2.185514873	2.026296239
0.569924812	0.6696159901	0.8477990254	1.266097342	2.191804076	2.031740781
0.5729323308	0.6715373987	0.8500709086	1.265857881	2.19809328	2.037185323
0.5759398496	0.6734588073	0.8523427918	1.265619786	2.204382484	2.042629866
0.5789473684	0.675380216	0.854614675	1.265383046	2.210671687	2.048074408
0.5819548872	0.6773016246	0.8568865582	1.265147649	2.216960891	2.05351895
0.584962406	0.6792230332	0.8591584414	1.264913584	2.223250094	2.058963493
0.5879699248	0.6811444419	0.8614303246	1.264680839	2.229539298	2.064408035
0.5909774436	0.6830658505	0.8637022077	1.264449404	2.235828501	2.069852578
0.5939849624	0.6849872591	0.8659740909	1.264219267	2.242117705	2.07529712
0.5969924812	0.6869086678	0.8682459741	1.263990418	2.248406908	2.080741662
0.6	0.6888300764	0.8705178573	1.263762845	2.254696112	2.086186205
