# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 14.0
# scan_axis: phiD
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiD	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
0.03458646617	0.3060009636	0.4179355582	1.365798177	1.001610131	1.001577841
0.03759398496	0.3060437384	0.4179928101	1.365794355	1.001750142	1.001715045
0.04060150376	0.3060865131	0.4180500621	1.365790534	1.001890154	1.001852248
0.04360902256	0.3061292879	0.418107314	1.365786714	1.002030165	1.001989452
0.04661654135	0.3061720626	0.4181645659	1.365782895	1.002170176	1.002126655
0.04962406015	0.3062148373	0.4182218178	1.365779077	1.002310188	1.002263859
0.05263157895	0.3062576121	0.4182790697	1.36577526	1.002450199	1.002401062
0.05563909774	0.3063003868	0.4183363216	1.365771444	1.002590211	1.002538266
0.05864661654	0.3063431616	0.4183935735	1.365767629	1.002730222	1.002675469
0.06165413534	0.3063859363	0.4184508255	1.365763816	1.002870233	1.002812673
0.06466165414	0.3064287111	0.4185080774	1.365760003	1.003010245	1.002949877
0.06766917293	0.3064714858	0.4185653293	1.365756192	1.003150256	1.00308708
0.07067669173	0.3065142605	0.4186225812	1.365752381	1.003290267	1.003224284
0.07368421053	0.3065570353	0.4186798331	1.365748572	1.003430279	1.003361487
0.07669172932	0.30659981	0.418737085	1.365744763	1.00357029	1.003498691
0.07969924812	0.3066425848	0.4187943369	1.365740956	1.003710302	1.003635894
0.08270676692	0.3066853595	0.4188515888	1.36573715	1.003850313	1.003773098
0.08571428571	0.3067281343	0.4189088408	1.365733345	1.003990324	1.003910302
0.08872180451	0.306770909	0.4189660927	1.365729541	1.004130336	1.004047505
0.09172932331	0.3068136838	0.4190233446	1.365725738	1.004270347	1.004184709
0.09473684211	0.3068564585	0.4190805965	1.365721936	1.004410358	1.004321912
0.0977443609	0.3068992332	0.4191378484	1.365718135	1.00455037	1.004459116
0.1007518797	0.306942008	0.4191951003	1.365714335	1.004690381	1.004596319
0.1037593985	0.3069847827	0.4192523522	1.365710536	1.004830393	1.004733523
0.1067669173	0.3070275575	0.4193096042	1.365706739	1.004970404	1.004870727
0.1097744361	0.3070703322	0.4193668561	1.365702942	1.005110415	1.00500793
0.1127819549	0.307113107	0.419424108	1.365699146	1.005250427	1.005145134
0.1157894737	0.3071558817	0.4194813599	1.365695352	1.005390438	1.005282337
0.1187969925	0.3071986565	0.4195386118	1.365691558	1.005530449	1.005419541
0.1218045113	0.3072414312	0.4195958637	1.365687766	1.005670461	1.005556744
0.1248120301	0.3072842059	0.4196531156	1.365683974	1.005810472	1.005693948
0.1278195489	0.3073269807	0.4197103676	1.365680184	1.005950484	1.005831151
0.1308270677	0.3073697554	0.4197676195	1.365676395	1.006090495	1.005968355
0.1338345865	0.3074125302	0.4198248714	1.365672607	1.006230506	1.006105559
0.1368421053	0.3074553049	0.4198821233	1.365668819	1.006370518	1.006242762
0.1398496241	0.3074980797	0.4199393752	1.365665033	1.006510529	1.006379966
0.1428571429	0.3075408544	0.4199966271	1.365661248	1.006650541	1.006517169
0.1458646617	0.3075836291	0.420053879	1.365657464	1.006790552	1.006654373
0.1488721805	0.3076264039	0.4201111309	1.365653681	1.006930563	1.006791576
0.1518796992	0.3076691786	0.4201683829	1.365649899	1.007070575	1.00692878
0.154887218	0.3077119534	0.4202256348	1.365646119	1.007210586	1.007065984
0.1578947368	0.3077547281	0.4202828867	1.365642339	1.007350597	1.007203187
0.1609022556	0.3077975029	0.4203401386	1.36563856	1.007490609	1.007340391
0.1639097744	0.3078402776	0.4203973905	1.365634782	1.00763062	1.007477594
0.1669172932	0.3078830524	0.4204546424	1.365631006	1.007770632	1.007614798
0.169924812	0.3079258271	0.4205118943	1.36562723	1.007910643	1.007752001
0.1729323308	0.3079686018	0.4205691463	1.365623456	1.008050654	1.007889205
0.1759398496	0.3080113766	0.4206263982	1.365619682	1.008190666	1.008026408
0.1789473684	0.3080541513	0.4206836501	1.36561591	1.008330677	1.008163612
0.1819548872	0.3080969261	0.420740902	1.365612138	1.008470688	1.008300816
0.184962406	0.3081397008	0.4207981539	1.365608368	1.0086107	1.008438019
0.1879699248	0.3081824756	0.4208554058	1.365604599	1.008750711	1.008575223
0.1909774436	0.3082252503	0.4209126577	1.36560083	1.008890723	1.008712426
0.1939849624	0.3082680251	0.4209699097	1.365597063	1.009030734	1.00884963
0.1969924812	0.3083107998	0.4210271616	1.365593297	1.009170745	1.008986833
0.2	0.3083535745	0.4210844135	1.365589532	1.009310757	1.009124037
0.2030075188	0.3083963493	0.4211416654	1.365585768	1.009450768	1.009261241
0.2060150376	0.308439124	0.4211989173	1.365582005	1.009590779	1.009398444
0.2090225564	0.3084818988	0.4212561692	1.365578243	1.009730791	1.009535648
0.2120300752	0.3085246735	0.4213134211	1.365574482	1.009870802	1.009672851
0.215037594	0.3085674483	0.421370673	1.365570722	1.010010814	1.009810055
0.2180451128	0.308610223	0.421427925	1.365566963	1.010150825	1.009947258
0.2210526316	0.3086529977	0.4214851769	1.365563205	1.010290836	1.010084462
0.2240601504	0.3086957725	0.4215424288	1.365559448	1.010430848	1.010221665
0.2270676692	0.3087385472	0.4215996807	1.365555693	1.010570859	1.010358869
0.230075188	0.308781322	0.4216569326	1.365551938	1.010710871	1.010496073
0.2330827068	0.3088240967	0.4217141845	1.365548184	1.010850882	1.010633276
0.2360902256	0.3088668715	0.4217714364	1.365544432	1.010990893	1.01077048
0.2390977444	0.3089096462	0.4218286884	1.36554068	1.011130905	1.010907683
0.2421052632	0.308952421	0.4218859403	1.365536929	1.011270916	1.011044887
0.245112782	0.3089951957	0.4219431922	1.36553318	1.011410927	1.01118209
0.2481203008	0.3090379704	0.4220004441	1.365529432	1.011550939	1.011319294
0.2511278195	0.3090807452	0.422057696	1.365525684	1.01169095	1.011456498
0.2541353383	0.3091235199	0.4221149479	1.365521938	1.011830962	1.011593701
0.2571428571	0.3091662947	0.4221721998	1.365518192	1.011970973	1.011730905
0.2601503759	0.3092090694	0.4222294517	1.365514448	1.012110984	1.011868108
0.2631578947	0.3092518442	0.4222867037	1.365510705	1.012250996	1.012005312
0.2661654135	0.3092946189	0.4223439556	1.365506962	1.012391007	1.012142515
0.2691729323	0.3093373937	0.4224012075	1.365503221	1.012531018	1.012279719
0.2721804511	0.3093801684	0.4224584594	1.365499481	1.01267103	1.012416923
0.2751879699	0.3094229431	0.4225157113	1.365495742	1.012811041	1.012554126
0.2781954887	0.3094657179	0.4225729632	1.365492004	1.012951053	1.01269133
0.2812030075	0.3095084926	0.4226302151	1.365488267	1.013091064	1.012828533
0.2842105263	0.3095512674	0.4226874671	1.365484531	1.013231075	1.012965737
0.2872180451	0.3095940421	0.422744719	1.365480796	1.013371087	1.01310294
0.2902255639	0.3096368169	0.4228019709	1.365477062	1.013511098	1.013240144
0.2932330827	0.3096795916	0.4228592228	1.365473329	1.013651109	1.013377347
0.2962406015	0.3097223663	0.4229164747	1.365469597	1.013791121	1.013514551
0.2992481203	0.3097651411	0.4229737266	1.365465866	1.013931132	1.013651755
0.3022556391	0.3098079158	0.4230309785	1.365462136	1.014071144	1.013788958
0.3052631579	0.3098506906	0.4230882305	1.365458407	1.014211155	1.013926162
0.3082706767	0.3098934653	0.4231454824	1.365454679	1.014351166	1.014063365
0.3112781955	0.3099362401	0.4232027343	1.365450953	1.014491178	1.014200569
0.3142857143	0.3099790148	0.4232599862	1.365447227	1.014631189	1.014337772
0.3172932331	0.3100217896	0.4233172381	1.365443502	1.014771201	1.014474976
0.3203007519	0.3100645643	0.42337449	1.365439779	1.014911212	1.01461218
0.3233082707	0.310107339	0.4234317419	1.365436056	1.015051223	1.014749383
0.3263157895	0.3101501138	0.4234889938	1.365432334	1.015191235	1.014886587
0.3293233083	0.3101928885	0.4235462458	1.365428614	1.015331246	1.01502379
0.3323308271	0.3102356633	0.4236034977	1.365424894	1.015471257	1.015160994
0.3353383459	0.310278438	0.4236607496	1.365421176	1.015611269	1.015298197
0.3383458647	0.3103212128	0.4237180015	1.365417458	1.01575128	1.015435401
0.3413533835	0.3103639875	0.4237752534	1.365413742	1.015891292	1.015572604
0.3443609023	0.3104067623	0.4238325053	1.365410026	1.016031303	1.015709808
0.3473684211	0.310449537	0.4238897572	1.365406312	1.016171314	1.015847012
