# VHH-NNLO SMEFT grid scan points
# process: WplusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-12.94871795	-0.07692307692	1.190825218	1.434425292	1.204564087	4.013357091	4.00730961
-12.94871795	-0.02564102564	1.238586927	1.491191355	1.20394566	4.174325126	4.165895208
-12.94871795	0.02564102564	1.286348637	1.547957419	1.203373156	4.335293161	4.324480805
-12.94871795	0.07692307692	1.334110346	1.604723482	1.202841644	4.496261197	4.483066403
-12.94871795	0.1282051282	1.381872056	1.661489546	1.202346873	4.657229232	4.641652
-12.94871795	0.1794871795	1.429633765	1.718255609	1.201885162	4.818197267	4.800237598
-12.94871795	0.2307692308	1.477395475	1.775021673	1.201453303	4.979165303	4.958823195
-12.94871795	0.2820512821	1.525157184	1.831787736	1.201048492	5.140133338	5.117408793
-12.94871795	0.3333333333	1.572918894	1.8885538	1.200668265	5.301101373	5.27599439
-12.94871795	0.3846153846	1.620680604	1.945319863	1.200310449	5.462069408	5.434579988
-12.94871795	0.4358974359	1.668442313	2.002085927	1.199973119	5.623037444	5.593165585
