# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phiW
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-0.2596491228	0.1796265237	0.2649343811	1.474917933	0.6179147402	0.6683382799
-0.2561403509	0.1811274884	0.2667110464	1.472504526	0.6230780545	0.672820195
-0.2526315789	0.1826284531	0.2684877117	1.470130788	0.6282413688	0.6773021101
-0.249122807	0.1841294178	0.2702643769	1.46779575	0.6334046831	0.6817840253
-0.2456140351	0.1856303824	0.2720410422	1.465498474	0.6385679975	0.6862659404
-0.2421052632	0.1871313471	0.2738177075	1.46323805	0.6437313118	0.6907478555
-0.2385964912	0.1886323118	0.2755943727	1.461013599	0.6488946261	0.6952297707
-0.2350877193	0.1901332765	0.277371038	1.458824269	0.6540579404	0.6997116858
-0.2315789474	0.1916342412	0.2791477033	1.456669234	0.6592212547	0.704193601
-0.2280701754	0.1931352059	0.2809243686	1.454547695	0.6643845691	0.7086755161
-0.2245614035	0.1946361705	0.2827010338	1.452458878	0.6695478834	0.7131574312
-0.2210526316	0.1961371352	0.2844776991	1.45040203	0.6747111977	0.7176393464
-0.2175438596	0.1976380999	0.2862543644	1.448376424	0.679874512	0.7221212615
-0.2140350877	0.1991390646	0.2880310297	1.446381353	0.6850378264	0.7266031766
-0.2105263158	0.2006400293	0.2898076949	1.444416132	0.6902011407	0.7310850918
-0.2070175439	0.202140994	0.2915843602	1.442480095	0.695364455	0.7355670069
-0.2035087719	0.2036419586	0.2933610255	1.440572598	0.7005277693	0.7400489221
-0.2	0.2051429233	0.2951376908	1.438693014	0.7056910836	0.7445308372
-0.1964912281	0.206643888	0.296914356	1.436840735	0.710854398	0.7490127523
-0.1929824561	0.2081448527	0.2986910213	1.435015171	0.7160177123	0.7534946675
-0.1894736842	0.2096458174	0.3004676866	1.433215746	0.7211810266	0.7579765826
-0.1859649123	0.2111467821	0.3022443519	1.431441905	0.7263443409	0.7624584977
-0.1824561404	0.2126477468	0.3040210171	1.429693104	0.7315076553	0.7669404129
-0.1789473684	0.2141487114	0.3057976824	1.427968818	0.7366709696	0.771422328
-0.1754385965	0.2156496761	0.3075743477	1.426268535	0.7418342839	0.7759042431
-0.1719298246	0.2171506408	0.309351013	1.424591757	0.7469975982	0.7803861583
-0.1684210526	0.2186516055	0.3111276782	1.422938	0.7521609125	0.7848680734
-0.1649122807	0.2201525702	0.3129043435	1.421306793	0.7573242269	0.7893499886
-0.1614035088	0.2216535349	0.3146810088	1.419697678	0.7624875412	0.7938319037
-0.1578947368	0.2231544995	0.316457674	1.418110209	0.7676508555	0.7983138188
-0.1543859649	0.2246554642	0.3182343393	1.416543953	0.7728141698	0.802795734
-0.150877193	0.2261564289	0.3200110046	1.414998486	0.7779774841	0.8072776491
-0.1473684211	0.2276573936	0.3217876699	1.413473399	0.7831407985	0.8117595642
-0.1438596491	0.2291583583	0.3235643351	1.411968289	0.7883041128	0.8162414794
-0.1403508772	0.230659323	0.3253410004	1.410482768	0.7934674271	0.8207233945
-0.1368421053	0.2321602876	0.3271176657	1.409016456	0.7986307414	0.8252053097
-0.1333333333	0.2336612523	0.328894331	1.407568982	0.8037940558	0.8296872248
-0.1298245614	0.235162217	0.3306709962	1.406139985	0.8089573701	0.8341691399
-0.1263157895	0.2366631817	0.3324476615	1.404729114	0.8141206844	0.8386510551
-0.1228070175	0.2381641464	0.3342243268	1.403336026	0.8192839987	0.8431329702
-0.1192982456	0.2396651111	0.3360009921	1.401960388	0.824447313	0.8476148853
-0.1157894737	0.2411660757	0.3377776573	1.400601873	0.8296106274	0.8520968005
-0.1122807018	0.2426670404	0.3395543226	1.399260163	0.8347739417	0.8565787156
-0.1087719298	0.2441680051	0.3413309879	1.397934949	0.839937256	0.8610606308
-0.1052631579	0.2456689698	0.3431076532	1.396625929	0.8451005703	0.8655425459
-0.101754386	0.2471699345	0.3448843184	1.395332807	0.8502638847	0.870024461
-0.09824561404	0.2486708992	0.3466609837	1.394055295	0.855427199	0.8745063762
-0.09473684211	0.2501718638	0.348437649	1.392793113	0.8605905133	0.8789882913
-0.09122807018	0.2516728285	0.3502143142	1.391545986	0.8657538276	0.8834702064
-0.08771929825	0.2531737932	0.3519909795	1.390313646	0.8709171419	0.8879521216
-0.08421052632	0.2546747579	0.3537676448	1.389095832	0.8760804563	0.8924340367
-0.08070175439	0.2561757226	0.3555443101	1.387892289	0.8812437706	0.8969159518
-0.07719298246	0.2576766873	0.3573209753	1.386702767	0.8864070849	0.901397867
-0.07368421053	0.2591776519	0.3590976406	1.385527023	0.8915703992	0.9058797821
