# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: tphi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
tphi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-12.79448622	0.2906979103	0.4471724171	1.538271867	1	1.128062137
-12.7443609	0.2906979103	0.4469735344	1.537587711	1	1.127560424
-12.69423559	0.2906979103	0.4467746517	1.536903555	1	1.127058712
-12.64411028	0.2906979103	0.446575769	1.536219399	1	1.126556999
-12.59398496	0.2906979103	0.4463768863	1.535535243	1	1.126055286
-12.54385965	0.2906979103	0.4461780037	1.534851087	1	1.125553574
-12.49373434	0.2906979103	0.445979121	1.534166931	1	1.125051861
-12.44360902	0.2906979103	0.4457802383	1.533482775	1	1.124550149
-12.39348371	0.2906979103	0.4455813556	1.532798619	1	1.124048436
-12.3433584	0.2906979103	0.4453824729	1.532114464	1	1.123546723
-12.29323308	0.2906979103	0.4451835902	1.531430308	1	1.123045011
-12.24310777	0.2906979103	0.4449847075	1.530746152	1	1.122543298
-12.19298246	0.2906979103	0.4447858249	1.530061996	1	1.122041586
-12.14285714	0.2906979103	0.4445869422	1.52937784	1	1.121539873
-12.09273183	0.2906979103	0.4443880595	1.528693684	1	1.121038161
-12.04260652	0.2906979103	0.4441891768	1.528009528	1	1.120536448
-11.9924812	0.2906979103	0.4439902941	1.527325372	1	1.120034735
-11.94235589	0.2906979103	0.4437914114	1.526641217	1	1.119533023
-11.89223058	0.2906979103	0.4435925287	1.525957061	1	1.11903131
-11.84210526	0.2906979103	0.443393646	1.525272905	1	1.118529598
-11.79197995	0.2906979103	0.4431947634	1.524588749	1	1.118027885
-11.74185464	0.2906979103	0.4429958807	1.523904593	1	1.117526172
-11.69172932	0.2906979103	0.442796998	1.523220437	1	1.11702446
-11.64160401	0.2906979103	0.4425981153	1.522536281	1	1.116522747
-11.5914787	0.2906979103	0.4423992326	1.521852125	1	1.116021035
-11.54135338	0.2906979103	0.4422003499	1.521167969	1	1.115519322
-11.49122807	0.2906979103	0.4420014672	1.520483814	1	1.11501761
-11.44110276	0.2906979103	0.4418025846	1.519799658	1	1.114515897
-11.39097744	0.2906979103	0.4416037019	1.519115502	1	1.114014184
-11.34085213	0.2906979103	0.4414048192	1.518431346	1	1.113512472
-11.29072682	0.2906979103	0.4412059365	1.51774719	1	1.113010759
-11.2406015	0.2906979103	0.4410070538	1.517063034	1	1.112509047
-11.19047619	0.2906979103	0.4408081711	1.516378878	1	1.112007334
-11.14035088	0.2906979103	0.4406092884	1.515694722	1	1.111505621
-11.09022556	0.2906979103	0.4404104058	1.515010566	1	1.111003909
-11.04010025	0.2906979103	0.4402115231	1.514326411	1	1.110502196
-10.98997494	0.2906979103	0.4400126404	1.513642255	1	1.110000484
