# VHH-NNLO SMEFT scan points
# process: ZHH
# energy_tev: 13.6
# scan_axis: phi
# fixed_wcs: phi=0,phiB=0,phiBox=0,phiD=0,phiQ3rd=0,phiW=0,phiWB=0,phid=0,phiq1st=0,phiq3st=0,phiu=0,tphi=0
#
phi	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-10.62406015	1.031408878	1.299408451	1.259838342	3.548043661	3.277960396
-10.57894737	1.028263608	1.295574052	1.259962953	3.537223943	3.268287528
-10.53383459	1.025118339	1.291739654	1.260088328	3.526404224	3.25861466
-10.4887218	1.021973069	1.287905255	1.260214475	3.515584506	3.248941792
-10.44360902	1.0188278	1.284070857	1.260341401	3.504764788	3.239268924
-10.39849624	1.01568253	1.280236458	1.260469113	3.493945069	3.229596057
-10.35338346	1.012537261	1.27640206	1.260597619	3.483125351	3.219923189
-10.30827068	1.009391991	1.272567662	1.260726925	3.472305633	3.210250321
-10.26315789	1.006246722	1.268733263	1.26085704	3.461485914	3.200577453
-10.21804511	1.003101452	1.264898865	1.26098797	3.450666196	3.190904585
-10.17293233	0.9999561828	1.261064466	1.261119725	3.439846478	3.181231717
-10.12781955	0.9968109133	1.257230068	1.261252311	3.429026759	3.171558849
-10.08270677	0.9936656438	1.253395669	1.261385736	3.418207041	3.161885981
-10.03759398	0.9905203743	1.249561271	1.261520008	3.407387323	3.152213113
-9.992481203	0.9873751048	1.245726872	1.261655136	3.396567605	3.142540245
-9.947368421	0.9842298353	1.241892474	1.261791128	3.385747886	3.132867377
-9.902255639	0.9810845658	1.238058075	1.261927991	3.374928168	3.123194509
-9.857142857	0.9779392963	1.234223677	1.262065735	3.36410845	3.113521641
-9.812030075	0.9747940268	1.230389278	1.262204368	3.353288731	3.103848774
-9.766917293	0.9716487573	1.22655488	1.262343898	3.342469013	3.094175906
-9.721804511	0.9685034878	1.222720481	1.262484335	3.331649295	3.084503038
-9.676691729	0.9653582183	1.218886083	1.262625686	3.320829576	3.07483017
-9.631578947	0.9622129488	1.215051684	1.262767962	3.310009858	3.065157302
-9.586466165	0.9590676793	1.211217286	1.262911171	3.29919014	3.055484434
-9.541353383	0.9559224098	1.207382888	1.263055322	3.288370422	3.045811566
-9.496240602	0.9527771403	1.203548489	1.263200426	3.277550703	3.036138698
-9.45112782	0.9496318708	1.199714091	1.26334649	3.266730985	3.02646583
-9.406015038	0.9464866013	1.195879692	1.263493525	3.255911267	3.016792962
-9.360902256	0.9433413318	1.192045294	1.26364154	3.245091548	3.007120094
-9.315789474	0.9401960623	1.188210895	1.263790546	3.23427183	2.997447226
-9.270676692	0.9370507928	1.184376497	1.263940552	3.223452112	2.987774358
-9.22556391	0.9339055233	1.180542098	1.264091569	3.212632393	2.97810149
-9.180451128	0.9307602538	1.1767077	1.264243606	3.201812675	2.968428623
-9.135338346	0.9276149843	1.172873301	1.264396674	3.190992957	2.958755755
-9.090225564	0.9244697148	1.169038903	1.264550784	3.180173238	2.949082887
-9.045112782	0.9213244453	1.165204504	1.264705946	3.16935352	2.939410019
-9	0.9181791758	1.161370106	1.264862171	3.158533802	2.929737151
