# VHH-NNLO SMEFT grid scan points
# process: WminusHH
# energy_tev: 13.6
# scan_axes: phi,phiW
# windows: phi=[-15,5]; phiW=[-1,1]
# n_points_per_axis: 40
# n_points_total: 1600
# fixed_wcs: phi=0,phiBox=0,phiD=0,phiW=0,phiq3st=0
#
phi	phiW	sigma_lo	sigma_nnlo	k	sigma_smeft_over_sm_lo	sigma_smeft_over_sm_nnlo
-13.97435897	0.07692307692	0.7695295312	0.897826062	1.166720737	4.812780016	4.797749111
-13.97435897	0.1282051282	0.7942457694	0.9266675444	1.166726447	4.967359941	4.951870496
-13.97435897	0.1794871795	0.8189620075	0.9555090269	1.166731812	5.121939865	5.105991882
-13.97435897	0.2307692308	0.8436782456	0.9843505093	1.166736863	5.27651979	5.260113267
-13.97435897	0.2820512821	0.8683944838	1.013191992	1.166741626	5.431099715	5.414234653
-13.97435897	0.3333333333	0.8931107219	1.042033474	1.166746125	5.58567964	5.568356039
-13.97435897	0.3846153846	0.9178269601	1.070874957	1.166750382	5.740259564	5.722477424
-13.97435897	0.4358974359	0.9425431982	1.099716439	1.166754416	5.894839489	5.87659881
-13.97435897	0.4871794872	0.9672594364	1.128557921	1.166758244	6.049419414	6.030720195
-13.97435897	0.5384615385	0.9919756745	1.157399404	1.166761881	6.203999339	6.184841581
-13.97435897	0.5897435897	1.016691913	1.186240886	1.166765341	6.358579263	6.338962967
-13.97435897	0.641025641	1.041408151	1.215082369	1.166768637	6.513159188	6.493084352
-13.97435897	0.6923076923	1.066124389	1.243923851	1.16677178	6.667739113	6.647205738
-13.97435897	0.7435897436	1.090840627	1.272765334	1.166774781	6.822319037	6.801327123
-13.97435897	0.7948717949	1.115556865	1.301606816	1.166777649	6.976898962	6.955448509
-13.97435897	0.8461538462	1.140273103	1.330448299	1.166780392	7.131478887	7.109569895
-13.97435897	0.8974358974	1.164989342	1.359289781	1.166783019	7.286058812	7.26369128
-13.97435897	0.9487179487	1.18970558	1.388131263	1.166785537	7.440638736	7.417812666
-13.97435897	1	1.214421818	1.416972746	1.166787952	7.595218661	7.571934051
-13.46153846	-1	0.2294770719	0.267662124	1.166400293	1.435192051	1.430316819
